QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20222,04816574,11,0,1,420,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816614,7,0,1,620,D,1,D,01,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816664,20,0,1,420,D,1,D,02,D,171,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816664,21,0,1,420,D,1,D,03,D,171,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816704,20,0,1,420,D,1,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816704,21,0,1,610,D,1,D,01,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816724,17,0,1,620,D,1,D,13,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816784,16,0,1,200,D,1,D,02,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816784,17,0,1,900,D,1,D,03,D,,H,420,D,510,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816784,17,1,1,420,D,1,D,03,D,137,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816784,17,2,1,510,D,1,D,03,D,119,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816784,18,0,1,620,D,1,D,01,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816914,10,0,1,420,D,1,D,03,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816914,11,0,1,510,D,1,D,03,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816934,9,0,2,120,D,1,D,01,D,317,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816984,11,0,1,510,D,1,D,03,D,199,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816984,12,0,2,510,D,1,D,01,D,199,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816994,21,0,1,200,D,1,D,01,D,630,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816994,22,0,1,620,D,1,D,13,D,817,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817024,10,0,1,420,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817064,17,0,1,200,D,1,D,02,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817064,18,0,1,420,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817064,19,0,1,420,D,1,D,03,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817064,20,0,1,410,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04817064,21,0,1,620,D,1,D,13,D,317,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817114,17,0,1,200,D,1,D,01,D,1694,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817114,18,0,1,410,D,1,D,02,D,156,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04817114,19,0,1,620,D,1,D,01,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817274,15,0,1,200,D,1,D,03,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817274,16,0,1,620,D,1,D,13,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817314,4,0,1,420,D,1,D,13,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817314,5,0,1,620,D,1,D,13,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817354,7,0,2,530,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817394,12,0,1,200,D,1,D,01,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817394,13,0,1,200,D,1,D,02,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817394,14,0,1,200,D,1,D,03,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817394,15,0,1,120,D,1,D,03,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817394,16,0,1,110,D,1,D,03,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817404,13,0,1,110,D,1,D,02,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817404,14,0,1,420,D,1,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817404,15,0,1,620,D,1,D,02,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817464,19,0,1,130,D,1,D,03,D,,H,120,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817464,19,1,1,120,D,1,D,03,D,375,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817464,19,2,1,110,D,1,D,03,D,131,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817464,20,0,1,530,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817464,21,0,1,530,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817494,16,0,1,110,D,1,D,02,D,159,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817654,13,0,1,200,D,1,D,03,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817654,14,0,1,510,D,1,D,03,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817654,15,0,1,620,D,1,D,13,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817684,16,0,1,200,D,1,D,03,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817684,17,0,2,120,D,1,D,01,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817684,18,0,2,620,D,1,D,01,D,109,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817714,10,0,1,620,D,1,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817774,24,0,1,620,D,1,D,13,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817844,6,0,1,620,D,1,D,13,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817854,7,0,1,420,D,1,D,03,D,209,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817864,16,0,1,900,D,1,D,03,D,,H,410,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04817864,16,1,1,410,D,1,D,03,D,225,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04817864,16,2,1,110,D,1,D,03,D,135,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04817864,17,0,1,510,D,1,D,01,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817874,19,0,1,120,D,1,D,02,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817894,15,0,1,620,D,1,D,02,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817944,13,0,1,110,D,1,D,03,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817964,14,0,1,200,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817964,15,0,1,620,D,1,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817974,17,0,1,330,D,1,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817974,18,0,1,620,D,1,D,13,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818024,14,0,1,110,D,1,D,02,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818024,15,0,1,120,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818024,16,0,1,120,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818024,17,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818084,15,0,1,410,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20222,04818084,16,0,1,620,D,1,D,13,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818114,8,0,1,120,D,1,D,02,D,480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818144,11,0,1,200,D,1,D,03,D,141,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818144,12,0,1,620,D,1,D,13,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818154,23,0,1,110,D,1,D,03,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818184,17,0,1,900,D,1,D,13,D,,H,620,D,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818184,17,1,1,620,D,1,D,13,D,19,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818184,17,2,1,420,D,1,D,13,D,31,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818394,12,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818514,13,0,1,110,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818514,14,0,1,110,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818514,15,0,1,510,D,1,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818514,16,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818614,14,0,1,420,D,1,D,02,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818614,15,0,1,420,D,1,D,03,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818614,16,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818614,17,0,1,610,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818614,18,0,1,610,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818614,19,0,1,610,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818624,22,0,1,200,D,1,D,03,D,431,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818624,23,0,1,900,D,1,D,01,D,,H,510,D,410,D,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04818624,23,1,1,510,D,1,D,01,D,13,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04818624,23,2,1,410,D,1,D,01,D,13,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04818734,12,0,1,120,D,1,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818734,13,0,1,620,D,1,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818894,13,0,1,120,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818894,14,0,1,200,D,1,D,02,D,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818944,19,0,1,510,D,1,D,03,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818944,20,0,2,420,D,1,D,01,D,287,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818974,11,0,1,420,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818994,15,0,1,900,D,1,D,03,D,,H,410,D,510,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818994,15,1,1,410,D,1,D,03,D,344,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818994,15,2,1,510,D,1,D,03,D,206,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819044,12,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819064,17,0,1,120,D,1,D,02,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819064,18,0,1,420,D,1,D,02,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819064,19,0,1,330,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819064,20,0,1,620,D,1,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,33,0,1,110,D,1,D,02,D,137,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,34,0,1,200,D,1,D,01,D,182,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,35,0,1,200,D,1,D,02,D,182,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,36,0,1,200,D,1,D,03,D,182,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819174,22,0,1,655,D,1,D,03,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20222,04819204,17,0,1,420,D,1,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819204,18,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819244,11,0,1,420,D,1,D,03,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819244,12,0,1,510,D,1,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819284,10,0,2,120,D,1,D,01,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819394,28,0,1,200,D,1,D,02,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819394,29,0,1,110,D,1,D,02,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819394,30,0,1,620,D,1,D,01,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819394,31,0,1,620,D,1,D,03,D,143,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819414,9,0,1,620,D,1,D,13,D,95,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819454,21,0,1,200,D,1,D,03,D,1252,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819454,22,0,1,420,D,1,D,02,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819454,23,0,1,410,D,1,D,03,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04819454,24,0,1,510,D,1,D,01,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819454,25,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819454,26,0,1,620,D,1,D,13,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819514,9,0,1,620,D,1,D,01,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819514,10,0,1,620,D,1,D,01,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819534,10,0,1,620,D,1,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819534,11,0,2,420,D,1,D,01,D,2948,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819544,9,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819554,7,0,1,110,D,1,D,02,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819554,8,0,1,635,D,1,D,13,D,101,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04819604,7,0,1,200,D,1,D,02,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819734,13,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819744,7,0,1,620,D,1,D,03,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819774,12,0,1,420,D,1,D,02,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819824,12,0,1,200,D,1,D,01,D,158,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819844,27,0,1,410,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04819844,28,0,1,410,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04819844,29,0,1,420,D,1,D,03,D,560,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819844,30,0,1,420,D,1,D,03,D,172,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819854,21,0,1,130,D,1,D,03,D,,H,120,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819854,21,1,1,120,D,1,D,03,D,287,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819854,21,2,1,110,D,1,D,03,D,101,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819854,22,0,1,110,D,1,D,03,D,316,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819854,23,0,1,200,D,1,D,03,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819854,24,0,1,620,D,1,D,13,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819874,14,0,1,620,D,1,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819894,18,0,1,410,D,1,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04819894,19,0,1,410,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04819894,20,0,1,620,D,1,D,13,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819964,12,0,1,200,D,1,D,01,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819964,13,0,1,620,D,1,D,13,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819964,14,0,2,110,D,1,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820034,13,0,1,200,D,1,D,02,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820034,14,0,1,200,D,1,D,03,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820044,10,0,1,610,D,1,D,01,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
